id,name_vi,name_en,category,green_basis,province_current_2026,province_legacy,admin_area,address_or_location,latitude,longitude,coordinate_type,contact_org,contact_phone,contact_email,contact_website,source_url,notes,image_url
VN-GREEN-001,Vườn quốc gia Cúc Phương,Cuc Phuong National Park,national_park,"Vườn quốc gia đầu tiên của Việt Nam; du lịch sinh thái, cứu hộ linh trưởng và bảo tồn rừng đặc dụng",Ninh Bình; Phú Thọ; Thanh Hóa,Ninh Bình; Hòa Bình; Thanh Hóa,Xã Cúc Phương,"Vườn quốc gia Cúc Phương, xã Cúc Phương, tỉnh Ninh Bình",20.35,105.583,representative_point,Vườn quốc gia Cúc Phương,1800 555 588; 02293 848 006; 0338 141 214,contact@cucphuongtourism.com.vn,https://www.cucphuongtourism.com.vn/,https://cucphuong-tourism.vercel.app/; https://www.internationalparks.org/vietnam/Cuc%20Phuong,Tọa độ là điểm đại diện khu vườn; nên thay bằng centroid/ràng buộc polygon khi có ranh giới chính thức.,https://upload.wikimedia.org/wikipedia/commons/f/fb/Parque_Nacional_de_Cuc_Phuong_%285182009321%29.jpg
VN-GREEN-002,Vườn quốc gia Ba Bể,Ba Be National Park,national_park,"Hồ nước ngọt tự nhiên, rừng núi đá vôi; du lịch sinh thái cộng đồng",Thái Nguyên,Bắc Kạn,Khu vực Ba Bể,"Ba Bể, tỉnh Thái Nguyên",22.408,105.618,representative_point,Ba Be National Park visitor information,,info@babenationalpark.com.vn,https://www.babenationalpark.com.vn/,https://www.babenationalpark.com.vn/en/contact.aspx; https://www.internationalparks.org/vietnam/Ba%20Be,Bắc Kạn đã sáp nhập vào Thái Nguyên theo hệ thống tỉnh 2025.,https://upload.wikimedia.org/wikipedia/commons/4/47/Ba_Be_Lake_6464.jpg
VN-GREEN-003,Vườn quốc gia Cát Bà,Cat Ba National Park,national_park;biosphere_reserve,Lõi Khu dự trữ sinh quyển Cát Bà; hệ sinh thái rừng - biển đảo,Hải Phòng,Hải Phòng,Đặc khu Cát Hải,"VQG Cát Bà, đặc khu Cát Hải, TP Hải Phòng",20.804,106.995,representative_point,Vườn quốc gia Cát Bà,0225 3888 741; 0987 632 282,vuonqgcatba@haiphong.gov.vn; Dulichsinhthaivqgcb@gmail.com,https://catbanationalpark.com/,https://catbanationalpark.com/english,Tọa độ là điểm đại diện khu trung tâm/cổng vườn.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Cat_Ba_National_Park_267.JPG/1920px-Cat_Ba_National_Park_267.JPG
VN-GREEN-004,Vườn quốc gia Phong Nha - Kẻ Bàng,Phong Nha - Ke Bang National Park,national_park;unesco_world_heritage,"Di sản thiên nhiên thế giới UNESCO; karst, hang động, rừng đặc dụng",Quảng Trị,Quảng Bình,"Khu vực Phong Nha, Bố Trạch cũ","Phong Nha, tỉnh Quảng Trị",17.537222,106.15125,unesco_reference_point,Ban quản lý VQG Phong Nha - Kẻ Bàng,0232 3677 021,pnkb@quangbinh.gov.vn,https://phongnhaconservation.vn/,https://phongnhaconservation.vn/pnkb-np-management; https://whc.unesco.org/en/list/951/maps/,Quảng Bình đã sáp nhập vào Quảng Trị; nguồn quản lý cũ vẫn dùng tên Quảng Bình.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Phongnhakebang6.jpg/1920px-Phongnhakebang6.jpg
VN-GREEN-005,Vườn quốc gia Cát Tiên,Cat Tien National Park,national_park;biosphere_reserve,"Rừng mưa nhiệt đới, đất ngập nước Bàu Sấu, du lịch sinh thái động vật hoang dã",Đồng Nai; Lâm Đồng,Đồng Nai; Lâm Đồng; Bình Phước,Nam Cát Tiên; Cát Lộc,"Nam Cát Tiên, tỉnh Đồng Nai",11.423333,107.428611,park_hq_or_representative_point,Vườn quốc gia Cát Tiên,0251 3669 228; 0251 3669 330,,https://www.namcattien.org/,https://www.namcattien.org/thepark.htm; https://www.internationalparks.org/park/Cat%20Tien,Tọa độ N11°25'24 E107°25'43 từ trang giới thiệu công viên.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Cat_Tien_National_Park%2C_Vietnam.jpg/1920px-Cat_Tien_National_Park%2C_Vietnam.jpg
VN-GREEN-006,Vườn quốc gia Côn Đảo,Con Dao National Park,national_park;ramsar;marine_protected_area,"Rừng - biển đảo, rùa biển, Ramsar, đang hướng tới/thuộc nhóm điểm bảo tồn nổi bật",Thành phố Hồ Chí Minh,Bà Rịa - Vũng Tàu,Đặc khu Côn Đảo,"Đường Ma Thiên Lãnh, Khu 3, Đặc khu Côn Đảo, TP.HCM",8.687,106.609,representative_point,Vườn quốc gia Côn Đảo,0983 830 669; 02543 830 669,info@condaopark.com.vn,https://www.condaopark.com.vn/,https://www.condaopark.com.vn/en/contact.html/; https://rsis.ramsar.org/RISapp/files/RISrep/VN2203RIS.pdf,"Sau sáp nhập 2025, Côn Đảo thuộc TP.HCM.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/ConDao_park_dam.jpg/330px-ConDao_park_dam.jpg
VN-GREEN-007,Vườn quốc gia Tràm Chim,Tram Chim National Park,national_park;ramsar_wetland,"Đất ngập nước Đồng Tháp Mười, sinh cảnh sếu đầu đỏ, Ramsar",Đồng Tháp,Đồng Tháp,Xã Tràm Chim,"Đường Tràm Chim, khóm/ấp 4 Tràm Chim, Đồng Tháp",10.737,105.588,representative_point,Du lịch Tràm Chim / Wildbird Tram Chim,0981 013 896; 0277 3829 779; 0277 3829 789,wildbirdtramchim@gmail.com,https://www.dulichtramchim.com/,https://www.dulichtramchim.com/lien-he; https://www.internationalparks.org/vietnam/Tram%20Chim,Liên hệ là đơn vị dịch vụ du lịch công bố công khai.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/%C4%90%E1%BB%93ng_c%E1%BB%8F_v%C3%A0_chim_n%C6%B0%E1%BB%9Bc.jpg/1920px-%C4%90%E1%BB%93ng_c%E1%BB%8F_v%C3%A0_chim_n%C6%B0%E1%BB%9Bc.jpg
VN-GREEN-008,Vườn quốc gia Núi Chúa,Nui Chua National Park,national_park;biosphere_reserve;marine_protected_area,Khu dự trữ sinh quyển UNESCO Núi Chúa; hệ sinh thái khô hạn ven biển và biển,Khánh Hòa,Ninh Thuận,Khu vực Vĩnh Hy - Ninh Hải cũ,"Vĩnh Hy, tỉnh Khánh Hòa",11.75,109.183,representative_point,Ban quản lý Vườn quốc gia Núi Chúa,,,https://www.unesco.org/en/mab/nui-chua,https://www.unesco.org/en/mab/nui-chua; https://www.internationalparks.org/vietnam/Nui%20Chua,Ninh Thuận đã sáp nhập vào Khánh Hòa.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Lo_O_Stream%2C_Nui_Chua_National_Park.jpg/330px-Lo_O_Stream%2C_Nui_Chua_National_Park.jpg
VN-GREEN-009,Vườn quốc gia Bạch Mã,Bach Ma National Park,national_park,"Rừng nhiệt đới miền Trung, đa dạng sinh học cao, du lịch sinh thái trekking",Huế,Thừa Thiên Huế,Khu vực Phú Lộc cũ,"Vườn quốc gia Bạch Mã, Huế",16.201,107.853,representative_point,Vườn quốc gia Bạch Mã,,,http://bachmapark.com.vn/,http://bachmapark.com.vn/; https://en.wikipedia.org/wiki/B%E1%BA%A1ch_M%C3%A3_National_Park,Cần xác minh lại điện thoại/email chính thức trước khi dùng vận hành.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Thacdoquyen.jpg/330px-Thacdoquyen.jpg
VN-GREEN-010,Vườn quốc gia Yok Đôn,Yok Don National Park,national_park,"Rừng khộp lớn, du lịch voi thân thiện hơn và bảo tồn động vật hoang dã",Đắk Lắk,Đắk Lắk,Khu vực Buôn Đôn,"Krông Na/Buôn Đôn, tỉnh Đắk Lắk",12.941,107.694,representative_point,Vườn quốc gia Yok Đôn,,,https://www.yokdonnationalpark.vn/,https://www.internationalparks.org/vietnam/Yok%20Don; https://en.wikipedia.org/wiki/Yok_%C4%90%C3%B4n_National_Park,Cần bổ sung số điện thoại/email từ nguồn địa phương nếu triển khai liên hệ.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Yokdon01.JPG/330px-Yokdon01.JPG
